sku,rmsse,weight,weighted_error,active_days,total_qty,last_7_qty,last_28_qty,last_56_qty,last_84_qty
SKU-10517,1.9304085913135436,3.275826153513301e-05,6.323682950391676e-05,16,22.0,1.0,10.0,10.0,10.0
SKU-07118,0.5708800783612619,0.00011072167246269427,6.320879705179288e-05,76,139.0,1.0,1.0,5.0,9.0
SKU-04257,1.2767220388389167,4.938970916841343e-05,6.305693018715793e-05,2,20.0,0.0,0.0,0.0,0.0
SKU-02326,0.7384214743536308,8.537984346934833e-05,6.304630989471841e-05,54,57.0,0.0,1.0,2.0,3.0
SKU-13069,0.257679731204121,0.00024329736613634936,6.269279990868512e-05,76,195.0,4.0,7.0,7.0,7.0
SKU-13715,0.8447863002351366,7.416550649183334e-05,6.265400383430089e-05,127,263.0,2.0,3.0,3.0,6.0
SKU-02047,0.5453121892628382,0.00011474061050198752,6.256945351019342e-05,86,326.0,0.0,0.0,0.0,0.0
SKU-06015,0.8329790244029946,7.509218248334922e-05,6.255021290527188e-05,73,133.0,2.0,9.0,13.0,19.0
SKU-11324,0.8695346704112175,7.190458567688063e-05,6.252353020760155e-05,69,82.0,2.0,2.0,2.0,2.0
SKU-00350,0.13714593211263293,0.00045529158331266507,6.244138857645192e-05,283,525.0,0.0,0.0,13.0,24.0
SKU-14697,5.072134420766912,1.2308669805137203e-05,6.243122779249077e-05,19,39.0,0.0,2.0,7.0,15.0
SKU-11387,0.28426138599358786,0.000219418230917001,6.237213043272782e-05,138,268.0,0.0,3.0,3.0,2.0
SKU-02131,0.5230844947855667,0.00011922847767048981,6.236656800632038e-05,89,92.0,0.0,1.0,4.0,4.0
SKU-14173,0.9522898297167135,6.535130820030025e-05,6.223338615782838e-05,66,132.0,3.0,7.0,18.0,31.0
SKU-10871,1.232667872482273,5.033683387984412e-05,6.204859792616106e-05,37,56.0,0.0,0.0,1.0,1.0
SKU-13681,2.1678468055793627,2.8376164929917184e-05,6.15151784979141e-05,10,11.0,0.0,1.0,1.0,1.0
SKU-13807,0.5007222123128336,0.00012268262879167266,6.142991730092048e-05,115,215.0,6.0,10.0,10.0,11.0
SKU-13811,1.0831190606466166,5.667271363456446e-05,6.138329635616416e-05,90,139.0,0.0,4.0,8.0,9.0
SKU-09669,2.232324127673965,2.747152707166562e-05,6.132535270612766e-05,25,170.0,12.0,48.0,88.0,134.0
SKU-06904,1.897868652108892,3.2298750130654134e-05,6.129878537526647e-05,24,47.0,1.0,3.0,14.0,15.0
SKU-02090,0.3816827858461829,0.00016028600385827155,6.117840848477711e-05,85,375.0,0.0,20.0,65.0,73.0
SKU-05917,3.5022606047762506,1.7467229763110773e-05,6.117479067391806e-05,12,19.0,0.0,5.0,9.0,14.0
SKU-09444,1.8033843890137802,3.386582027050442e-05,6.107309159697411e-05,24,44.0,3.0,9.0,23.0,23.0
SKU-02998,0.1323507823959751,0.0004605143984067169,6.094944093374076e-05,65,64.0,0.0,1.0,1.0,1.0
SKU-15424,0.6879189821837668,8.850634865076541e-05,6.088519728063615e-05,55,420.0,20.0,38.0,82.0,109.0
SKU-05904,0.28465562835873787,0.000213602082553336,6.080303502795486e-05,177,338.0,0.0,1.0,9.0,14.0
SKU-09718,1.2410125581610356,4.873486268041458e-05,6.0480576606648086e-05,21,21.0,0.0,0.0,0.0,0.0
SKU-08183,0.8992131770795662,6.708571931996821e-05,6.032436280637665e-05,55,51.0,0.0,0.0,1.0,2.0
SKU-07780,1.6863739017835548,3.574098106406057e-05,6.0272657690571974e-05,9,8.0,0.0,1.0,1.0,1.0
SKU-09835,0.6334565900374376,9.512840133067438e-05,6.025971272264184e-05,64,64.0,1.0,2.0,2.0,4.0
SKU-06466,2.4819716016960327,2.4259842364816714e-05,6.021223981109741e-05,8,6.0,0.0,0.0,0.0,0.0
SKU-05961,3.2038892338287095,1.8775319482747412e-05,6.015404395246885e-05,2,1.0,0.0,0.0,0.0,0.0
SKU-09007,1.4144612647961423,4.248604215537273e-05,6.0094860923270734e-05,104,177.0,0.0,0.0,0.0,2.0
SKU-06382,1.3085476953442454,4.585019314325708e-05,5.999716456869758e-05,17,16.0,0.0,-1.0,0.0,0.0
SKU-11303,1.584450970843473,3.7865337271496394e-05,5.999577040113801e-05,68,102.0,3.0,5.0,6.0,8.0
SKU-14773,0.23826561381137712,0.0002516089074195948,5.9949750766739716e-05,215,511.0,0.0,2.0,18.0,22.0
SKU-13767,0.6914274851234647,8.637826077976576e-05,5.972430362029225e-05,119,199.0,5.0,6.0,11.0,18.0
SKU-12226,0.907591442931582,6.577061596490619e-05,5.969284824608815e-05,76,147.0,2.0,7.0,7.0,7.0
SKU-12294,2.0131530916520557,2.9606149197546662e-05,5.9601710788953094e-05,67,65.0,1.0,7.0,8.0,15.0
SKU-15939,0.867232503864992,6.870178052559867e-05,5.958041714519807e-05,68,86.0,1.0,3.0,3.0,5.0
SKU-11408,0.39251450934538196,0.00015132349937574714,5.93966691098976e-05,245,609.0,16.0,18.0,18.0,18.0
SKU-06235,2.261605083197316,2.6163303575521803e-05,5.917106035963462e-05,5,4.0,0.0,0.0,1.0,1.0
SKU-06425,2.288499349479265,2.5836821509040432e-05,5.912754921605091e-05,6,6.0,1.0,1.0,2.0,2.0
SKU-06911,0.9592289766839075,6.147467001656095e-05,5.896828481196665e-05,27,31.0,1.0,1.0,1.0,1.0
SKU-02246,0.783245415343798,7.522180426097205e-05,5.891713332129493e-05,122,123.0,0.0,0.0,0.0,2.0
SKU-13705,0.9236771817480532,6.351215160707632e-05,5.866472520317935e-05,112,162.0,0.0,1.0,1.0,1.0
SKU-08897,2.4030279652793625,2.4401777412837e-05,5.86381535255696e-05,27,48.0,2.0,6.0,16.0,18.0
SKU-15054,0.41547535730438034,0.00014094056789797416,5.855733280609309e-05,188,707.0,0.0,30.0,45.0,52.0
SKU-04613,1.1079972856261797,5.281526887467302e-05,5.851917455275457e-05,68,77.0,2.0,11.0,12.0,13.0
SKU-10535,0.6982481218811272,8.365029089328927e-05,5.840865851104919e-05,13,226.0,16.0,68.0,80.0,226.0
SKU-14547,3.2137056202161904,1.813516390546281e-05,5.8281078166527626e-05,26,37.0,0.0,0.0,1.0,8.0
SKU-13822,1.2239119576705617,4.7591201783314455e-05,5.824744094251112e-05,58,99.0,5.0,5.0,12.0,17.0
SKU-13424,1.8190131004501742,3.201240596446753e-05,5.8230985826295735e-05,32,91.0,0.0,0.0,2.0,4.0
SKU-07389,0.723440329496873,8.036372073672826e-05,5.8138356609373377e-05,51,53.0,0.0,0.0,0.0,2.0
SKU-00371,1.8332558308719396,3.16598686405883e-05,5.804063878999817e-05,18,24.0,1.0,8.0,11.0,12.0
SKU-08926,2.4251847438696914,2.3891300163349968e-05,5.794081666736781e-05,61,152.0,11.0,41.0,53.0,79.0
SKU-14231,1.2114378266517072,4.776808908060344e-05,5.786807001911138e-05,17,36.0,0.0,2.0,4.0,6.0
SKU-12465,0.8427620713814102,6.859737659153573e-05,5.7811267187613315e-05,23,22.0,0.0,1.0,2.0,4.0
SKU-02657,2.9186734289276997,1.9776385461975447e-05,5.772081076809979e-05,26,36.0,2.0,2.0,2.0,2.0
SKU-09921,4.743238021637099,1.2156873820392038e-05,5.766294612912817e-05,25,50.0,1.0,2.0,2.0,3.0
SKU-13710,0.9534757024537823,6.0364899462478986e-05,5.75564649185391e-05,111,177.0,0.0,2.0,3.0,5.0
SKU-00601,1.101768129670625,5.217947066507346e-05,5.7489677801861226e-05,38,41.0,0.0,0.0,2.0,5.0
SKU-02731,1.3460620443293805,4.269015694805733e-05,5.746359993424416e-05,13,13.0,0.0,0.0,0.0,0.0
SKU-11397,0.6155070849185407,9.335395333524262e-05,5.746001968299666e-05,183,361.0,0.0,11.0,13.0,17.0
SKU-11919,0.4760390319292978,0.00012065392131421087,5.743597590089062e-05,106,136.0,0.0,1.0,2.0,5.0
SKU-10429,0.6584791213920248,8.712609719702172e-05,5.7370715932611014e-05,72,77.0,0.0,4.0,6.0,6.0
SKU-00175,2.006897375327926,2.8490979456622453e-05,5.717847189201746e-05,15,13.0,3.0,6.0,13.0,13.0
SKU-07547,1.1210510010377268,5.096514419833387e-05,5.7134525921574274e-05,47,92.0,0.0,2.0,3.0,9.0
SKU-12461,1.5955163855999772,3.577872418226685e-05,5.7085540688668906e-05,21,18.0,1.0,1.0,1.0,1.0
SKU-09748,0.09872337095167442,0.0005773234292765537,5.6995315067561984e-05,137,180.0,0.0,2.0,5.0,6.0
SKU-11971,0.5135176441877366,0.00011084336137001956,5.692002180458241e-05,122,219.0,0.0,2.0,6.0,8.0
SKU-08289,0.09418231915409173,0.000604295444648871,5.691394643128374e-05,340,431.0,0.0,0.0,6.0,14.0
SKU-03001,2.579122902697972,2.2056535633699558e-05,5.688651620704845e-05,4,3.0,1.0,1.0,1.0,1.0
SKU-09027,1.0328098366696843,5.5038176249802775e-05,5.68439698231561e-05,115,185.0,8.0,17.0,32.0,40.0
SKU-09499,0.7431915980546152,7.631823085881497e-05,5.671906795266375e-05,45,1131.0,0.0,16.0,177.0,552.0
SKU-03192,0.15218979096589252,0.00037206716236051193,5.6624823664919105e-05,178,335.0,1.0,4.0,11.0,21.0
SKU-11277,0.794207754391722,7.091002338009575e-05,5.6317290432570344e-05,83,133.0,0.0,1.0,1.0,1.0
SKU-13509,1.1518955101981825,4.880215874323445e-05,5.621498754431074e-05,172,691.0,10.0,26.0,40.0,50.0
SKU-11929,0.23594013275941275,0.0002381229544575116,5.618276148776888e-05,351,665.0,1.0,1.0,2.0,3.0
SKU-06437,9.608906486037647,5.842445962124273e-06,5.613951689978039e-05,1,1.0,0.0,0.0,0.0,0.0
